ISBN,Book-Title,Book-Author,Year-Of-Publication
0192814907,"""The Oxford Companion to Classical Literature (Oxford Paperbacks)""","""Paul H. Harvey""","""1984"""
157973006X,"""Pocahontas: An Unlikely Pair (Disney's Storytime Treasures Library)""","""Disney Enterprises Inc""","""1997"""
0553296817,"""Return of the Spanish (Spanish Bit Saga of the Plains Indians)""","""Don Coldsmith""","""1993"""
084395311X,"""Rage""","""Steve Gerlach""","""2004"""
0895267101,"""Philosophy in the Tragic Age of the Greeks""","""Friedrich Nietzsche""","""1996"""
3404149181,"""Dunkler Zauber.""","""Alexander McCall Smith""","""2003"""
2070414175,"""Assurance sur la mort""","""James M. Cain""","""2003"""
1557094985,"""Extracts from Adam's Diary/Eve's Diary: Memoirs of the First Man Written Down by Mark Twain""","""Mark Twain""","""2000"""
1576738906,"""Who I Am: Diary of a Teenage Girl (Book 3)""","""Melody Carlson""","""2002"""
080697222X,"""Router Basics (Basics Series)""","""Patrick Spielman""","""1990"""
0385327617,"""Sights""","""Susanna Vance""","""2001"""
0312928599,"""Heat of a Savage Moon""","""Jane Bonander""","""1993"""
0747536708,"""Soft""","""Rupert Thomson""","""0"""
0449223132,"""Brazil""","""John Updike""","""1995"""
0307070735,"""Chicken Little (A Golden tell-a-tale book)""","""Rita Walsh""","""1990"""
0671657615,"""Adopt the Baby You Want""","""Michael Sullivan""","""1990"""
0590474634,"""Second-Grade Friends""","""Miriam Cohen""","""1993"""
030700113X,"""Walt Disney's Lady and the Tramp (Little Golden Book)""","""Teddy Slater""","""1991"""
096522001X,"""The Divinity Student (Buzzcity Press First Editions)""","""Michael Cisco""","""1999"""
0446670588,"""Official Slacker Handbook""","""Sarah Dunn""","""1994"""
1840672447,"""Elementary Tarot""","""Roberta Peters""","""2000"""
0813523931,"""Scribbling Women: Short Stories by 19th Century American Women""","""Elaine Showalter""","""1997"""
0374115478,"""The Book of Intimate Grammar""","""David Grossman""","""1994"""
0140185895,"""Collected Short Stories (Penguin Twentieth-Century Classics)""","""W. Somerset Maugham""","""1977"""
0451147723,"""A Roman Tale""","""Carroll Baker""","""1987"""
0821754858,"""Tapestry""","""Karen Ranney""","""1996"""
0373387113,"""Taking On Twins (The Coltons)""","""Carolyn Zane""","""2002"""
3446214380,"""Marketing- und Vertriebssteuerung. Planung und Kontrolle mit Kennzahlen und Balanced Scorecard.""","""Andreas PreiÃ?Â?ner""","""2000"""
0778320766,"""Dead Easy (Mira)""","""Olga Bicos""","""2004"""
0938151541,"""The Little PC Book""","""Lawrence J. Magid""","""1993"""
0345332652,"""The Curse of Slagfid""","""Elizabeth H. Boyer""","""1989"""
0394757688,"""The Long Goodbye (Vintage Crime/Black Lizard)""","""Raymond Chandler""","""1992"""
0563487380,"""Colin Jackson: The Autobiography""","""Colin Jackson""","""2003"""
189441330X,"""Curling for Dummies (For Dummies)""","""Bob  Weeks""","""2002"""
0449216225,"""The Dolphin Doctor""","""Sam Ridgway""","""1988"""
0670813001,"""When Baby Went to Bed""","""Susan Pearson""","""1987"""
0618154574,"""Changes at Fairacre""","""Miss Read""","""2001"""
0801494281,"""Opera and Ideas: From Mozart to Strauss""","""Paul Robinson""","""1986"""
0764501224,"""Visual Basic 5 for Windows for Dummies (For Dummies (Computers))""","""Wally Wang""","""1997"""
044652154X,"""Mortal Sins""","""Penn Williamson""","""2000"""
0674931505,"""The Use of Poetry and the Use of Criticism: Studies in the Relationship of Criticism to Poetry in England (Charles Eliot Norton Lectures for 1932-33)""","""T. S. Eliot""","""1986"""
0312270313,"""Let's Go Britain and Ireland 2002""","""Matthew B. Sussman""","""2001"""
189295012X,"""Safety of Unknown Cities""","""Lucy Taylor""","""1999"""
0892562900,"""Letitia Baldrige's Complete Guide to Executive Manners""","""Letitia Baldrige""","""1985"""
0449007200,"""Give the Dog a Bone""","""Leslie O'Kane""","""2002"""
0671698788,"""SURRENDER NONE: THE LEGACY OF GIRD : SURRENDER NONE: THE LEGACY OF GIRD""","""Elizabeth Moon""","""1990"""
3423206306,"""Malcolm und ich.""","""William J. Thomas""","""2003"""
0563551011,"""Changing Rooms""","""Linda Barker""","""1999"""
1860110886,"""Ireland""","""Catharina Day""","""1998"""
0931787483,"""Conflict of Interests""","""Rick D. Stuart""","""1986"""
0786006528,"""Fade to Black""","""Wendy Corsi Staub""","""1999"""
0425184935,"""An Opening for Murder (Maggie Kean Mysteries (Hardcover))""","""Nageeba Davis""","""2002"""
0964392690,"""Leah's Way""","""Richard Botelho""","""2004"""
0020423802,"""Beyond the Burning Lands""","""John Christopher""","""1974"""
0312264917,"""The Marsh King's Daughter""","""Elizabeth Chadwick""","""2000"""
0671576925,"""Lawrence Sanders: McNally's Dilemma : An Archy McNally Novel (Archy McNally Novels (Audio))""","""Vincent Lardo""","""1999"""
1567310931,"""Journeys to the Twilight Zone""","""Rod Serling""","""1996"""
0773673431,"""The watch that ends the night (New press Canadian classics)""","""Hugh MacLennan""","""1998"""
0061080632,"""Morning Comes Softly (Harper Monogram)""","""Debbie Macomber""","""1993"""
0553281747,"""Mona Lisa Overdrive (Bantam Spectra Book)""","""William Gibson""","""1989"""
0151689954,"""On drink""","""Kingsley Amis""","""1973"""
1587150085,"""Discovering Modern Horror Fiction II""","""Darrell Schweitzer""","""1988"""
0517338416,"""Dashiell Hammett: Five Complete Novels""","""Dashiell Hammett""","""1987"""
1559501065,"""Secrets of a Super Hacker""","""Knightmare""","""1994"""
0297607871,"""Blur""","""Michelle Berry""","""2003"""
1558217479,"""The Outward Bound Map &amp"," Compass Handbook""","""Glenn Randall"""
1570540535,"""Friendship Bracelets""","""Laura Torres""","""1996"""
0141007966,"""The Bay of Contented Men""","""Robert Drewe""","""2002"""
0787290939,"""Texas Public School Organization and Administration: 2002""","""James Vornberg""","""2002"""
0816027072,"""Key Ideas in Human Thought""","""Kenneth McLeish""","""1993"""
0689811691,"""Henry and Mudge and the Snowman Plan : The Nineteenth Book of Their Adventures (Henry &amp"," Mudge)""","""Cynthia Rylant"""
0739417525,"""Heartless""","""Kat Martin""","""2001"""
1857326911,"""Pocket Beer Book: 96""","""Michael Jackson""","""1995"""
0395633257,"""The Best American Sports Writing 1994 (Best American Sports Writing (Paperback))""","""Tom Boswell""","""1994"""
0723236976,"""Observer's Book of Aircraft (Observer's Pocket S.)""","""William Green""","""1991"""
0312269315,"""A Cold Christmas""","""Charlene Weir""","""2001"""
3473580112,"""Das kurze Leben der Sophie Scholl. ( Ab 13 J.).""","""Hermann Vinke""","""1997"""
0515089869,"""Self Love""","""Robert Schuller""","""1997"""
0312183011,"""Radio On : A Listener's Diary""","""Sarah Vowell""","""1997"""
0847803708,"""Art in the Ancient World: A Handbook of Styles and Forms""","""P. Amiet""","""1981"""
0399522360,"""Signing Everyday Phrases""","""Mickey Flodin""","""1996"""
0552994650,"""Stripping Penguins Bare""","""Michael Carson""","""1992"""
0345320220,"""The Empire Strikes Back (Star Wars)""","""Donald F. Glut""","""1994"""
0523417462,"""Falcon Fury""","""Katherine Yorke""","""1982"""
0373511949,"""The Pirate And His Lady""","""Margaret St. George""","""2002"""
0141311339,"""Esio Trot (Puffin Fiction)""","""Roald Dahl""","""2001"""
0671559923,"""LONG MYND""","""Edward Hughes""","""1985"""
226403338X,"""PÃ?Â¨lerin de la haine""","""Peters""","""2002"""
0140621164,"""Selected Tales (Penguin Popular Classics)""","""Edgar Allan Poe""","""1994"""
0316777129,"""Living With the Dead: Twenty Years on the Bus With Garcia and the Grateful Dead""","""Rock Scully""","""1995"""
0590408488,"""Going on Twelve""","""Candice F. Ransom""","""1988"""
0316313114,"""Drunk With Love: A Book of Stories""","""Ellen Gilchrist""","""1986"""
1582402094,"""Clerks: The Comic Books""","""Kevin Smith""","""2001"""
0446608971,"""The Naked God Part 1 : Flight (Naked God)""","""Peter F. Hamilton""","""2000"""
0525462694,"""My Side of the Mountain Trilogy""","""Jean Craighead George""","""2000"""
0140372954,"""The Changeover (Puffin Teenage Fiction S.)""","""Margaret Mahy""","""1995"""
0842378480,"""We're Finally Alone: Now What Do We Do?""","""Greg Johnson""","""1996"""
0333669363,"""The Trouble With Single Women""","""Yvonne Roberts""","""1997"""
0689714823,"""Cofa Sacagawea : American Pathfinder (Childhood Of Famous Americans)""","""Flora Warren Seymour""","""1991"""
0590457551,"""Between Two Worlds""","""Candice F. Ransom""","""1994"""
0380703319,"""The Grub-And-Stakers Move a Mountain""","""Charlotte MacLeod""","""1987"""
0967978602,"""Jennie's Reprisal: A Soul's Evolution from Atlantis to Eternity""","""Carol Bennett""","""2000"""
0380765942,"""Ice by Ice: The Vanilla Ice Story in His Own Words""","""Vanilla Ice""","""1991"""
0671543903,"""7 SILENT MEN""","""Noel Behn""","""1985"""
0345391136,"""A Small Sacrifice: A Jane Lawless Mystery (Jane Lawless Mysteries (Paperback))""","""Ellen Hart""","""1996"""
043901123X,"""How to Handle Your Teacher (How to Handle S.)""","""Roy Apps""","""1999"""
1850152713,"""The Fanatic's Guide to Computers""","""Roland Fiddy""","""2000"""
074346446X,"""Shout Down the Moon""","""Lisa Tucker""","""2004"""
0486406504,"""Lord Jim (Dover Thrift Editions)""","""Joseph Conrad""","""1999"""
0380718049,"""Brain Child""","""George Turner""","""1992"""
0805052534,"""If Aristotle Ran General Motors""","""Thomas V. Morris""","""1998"""
0142400017,"""Catalyst""","""Laurie Halse Anderson""","""2003"""
0425054918,"""Possible Dream""","""Charles Paul Conn""","""1982"""
0786709618,"""The Diary of a Country Priest: A Novel""","""Georges Bernanos""","""2002"""
1403325383,"""600 Crises or Growing Up Italian""","""Carol Olivieri Schulte""","""2002"""
0553378228,"""Touched""","""Scott Campbell""","""1997"""
0394711955,"""Among the Believers: An Islamic Journey""","""V.S. NAIPAUL""","""1982"""
3858423416,"""Das gefrorene Meer: Roman""","""Judith Giovannelli-Blocher""","""1999"""
0805016872,"""On Writing: Advice for Those Who Write to Publish (Or Would Like to)""","""George V. Higgins""","""1991"""
0679767878,"""The Man Without Qualities Vol. 1: A Sort of Introduction and Pseudo Reality Prevails""","""ROBERT MUSIL""","""1996"""
0394621336,"""Escape from Auschwitz: I Cannot Forgive""","""Rudolph Vrba""","""1986"""
0155625136,"""The Modern Researcher""","""Jacques Barzun""","""1992"""
2867141648,"""Qigong""","""GÃ?Â©rard Edde""","""1998"""
345502498X,"""Die Jury""","""John Grisham""","""1998"""
0500276455,"""The Middle Ages: A Concise Encyclopedia""","""H. R. Lyon""","""1991"""
0879801832,"""Arabian Horse""","""Reginald Summerhays""","""1969"""
0440183057,"""Stillwatch""","""MARY HIGGINS CLARK""","""1986"""
1574862189,"""Gooseberry Patch Christmas - Book 3""","""Leisure Arts""","""2001"""
0425071650,"""Shatterday""","""Harlan Ellison""","""1983"""
0465029973,"""Ai: The Tumultuous History of the Search for Artificial Intelligence""","""Daniel Crevier""","""1993"""
0586080953,"""How Things Work: The Universal Encyclopedia of Machines""","""C. van Amerongen (translator)""","""1972"""
0671545140,"""LEADERSHIP SECRETS OF THE ROGUE WARRIOR""","""Richard Marcinko""","""1997"""
0373263988,"""Dark Coulee (Worldwide Library Mysteries)""","""Mary Logue""","""2001"""
0425167836,"""Death on Black Dragon River""","""Christopher West""","""1999"""
0878223517,"""Break It Up: A Teacher's Guide to Managing Student Aggression""","""Arnold P. Goldstaine""","""1995"""
0373770200,"""Once In Paris""","""Diana Palmer""","""2004"""
3423004371,"""Wanderer Kommst Du Nach Spa""","""Heinrich Boll""","""0"""
3426607042,"""Des Maurern Letzter Seufzer""","""Rushdie""","""0"""
0140136908,"""History of Economic Thought (Penguin Economics)""","""William J. Barber""","""1992"""
0750517824,"""The Long Way Home""","""Jessica Blair""","""2002"""
0747560552,"""The Magistrate's Tale""","""Trevor Grove""","""2002"""
0743475380,"""Icaro (Book 1)""","""Jiro Taniguchi""","""2003"""
1567404103,"""Angels Flight (Detective Harry Bosch Mysteries)""","""Michael Connelly""","""1999"""
0345386310,"""State of Mind""","""JOHN KATZENBACH""","""1997"""
0060628332,"""Richard J. Foster's Study Guide for Celebration of Discipline""","""Richard J. Foster""","""1983"""
0195197542,"""The Speaking Tree: A Study of Indian Culture and Society (Galaxy Book)""","""Richard Lannoy""","""1974"""
3442725739,"""Ã?Â?stlich der Berge.""","""David Guterson""","""2000"""
0139513108,"""User's Reference Manual/System Administrator's Reference Manual (Commands a-L for Intel Processors : Unix System V Release 4)""","""UNIX System Laboratories""","""1992"""
1559705612,"""The Queen &amp"," Di : The Untold Story""","""Ingrid Seward"""
0967822181,"""The Law of Three: A Rowan Gant Investigation""","""M. R. Sellars""","""2003"""
0670875988,"""Edith Shay""","""A. LaFaye""","""1998"""
0312862334,"""Guinevere (Guinevere)""","""Sharan Newman""","""1996"""
0920620213,"""British Columbia""","""Carol Baker""","""1982"""
0812540239,"""The Mongoose Man""","""Nicholas Van Pelt""","""2000"""
0684844850,"""UNEARNED PLEASURES AND OTHER STORIES""","""Ursula Hegi""","""1997"""
0671681559,"""Sahara""","""Clive Cussler""","""1992"""
0809239361,"""\""And Then Jack Said to Arnie...\"": A Collection of the Greatest True Golf Stories of All Time""","""Don  Wade""","""1992"""
078531038X,"""Little Engine Little Play-A-Sound""","""Internatl Publications""","""1994"""
0395962757,"""Fuentes: Lectura Y Redaccion""","""Donald N. Tuten""","""2000"""
848310881X,"""Mercado De Barcelo (Textos En El Aire)""","""Almudena Grandes""","""2003"""
0821766937,"""After Dark""","""Beverly Barton""","""2000"""
1571517138,"""Sparkle Basket Book""","""Jackie Wolf""","""2003"""
0440295742,"""Nothing But the Truth""","""John T. Lescroart""","""1999"""
0697248453,"""Group Processes in the Classroom""","""Richard A. Schmuck""","""1996"""
068480445X,"""SHORT STORIES OF F. SCOTT FITZGERALD : A New Collection""","""F. Scott Fitzgerald""","""1995"""
0515074020,"""Main""","""Trevanian""","""1983"""
0874870216,"""Art of French Horn Playing""","""Philip Farkas""","""1956"""
2890372626,"""Contes de feu: Nouvelles (Collection LittÃ©rature d'AmÃ©rique)""","""Pierre Goulet""","""1985"""
0552995428,"""Sweet Thames""","""Matthew Kneale""","""1993"""
0373484909,"""Secret Star""","""Nora Roberts""","""2001"""
0671525794,"""The Kingdom by the Sea: A Journey Around Great Britain""","""Paul Theroux""","""1984"""
0156003368,"""Rootie Kazootie (Harvest Book)""","""Lawrence Naumoff""","""1996"""
0373047231,"""One Wedding Night (Montana Brides)""","""Karen Hughes""","""2001"""
0843920831,"""Heart's Landing""","""Robin Lee Hatcher""","""1984"""
155896388X,"""The Unitarian Universalist Pocket Guide""","""John A. Buehrens""","""1999"""
0449128180,"""Pirate Royale""","""Cordia Byers""","""1986"""
0860519252,"""We Danced All Night""","""Barbara Cartland""","""1995"""
0887307868,"""Up the Loyalty Ladder: Turning Sometime Customers into Full-Time Advocates of Your Business""","""Murray Raphel""","""1996"""
8401327350,"""LeÃ³n Bocanegra""","""Alberto VÃ¡zquez-Figueroa""","""1998"""
038071504X,"""Stars  Co""","""Kathryn Harvey""","""1993"""
0892815450,"""Birth Without Violence: The Book That Revolutionalized the Way We Bring Our Children into the World""","""Frederick Leboyer""","""1995"""
0744506492,"""The Funfair of Evil (Which Way?)""","""Patrick Burston""","""1986"""
0136571972,"""The perennial avantgarde""","""Gerald Sykes""","""1971"""
0811720764,"""Field Guide to Medicinal Wild Plants""","""Bradford Angier""","""1978"""
0553486675,"""Too Popular (Sweet Valley Jr. High No. 9)""","""Jamie Suzanne""","""1999"""
0449209830,"""Mrs. Pollifax and the Hong Kong Buddha""","""Dorothy Gilman""","""1988"""
0060166932,"""Lost Boys""","""Orson Scott Card""","""1992"""
1853754358,"""Complete Nutrition (New Edition)""","""Michael Sharon""","""2001"""
0786889322,"""I'm Not Really Here""","""Tim Allen""","""1997"""
9999980538,"""Murphy's Law""","""Colin Bateman""","""2002"""
0771076002,"""Remembering Peter Gzowski : A Book of Tributes""","""EDNA BARKER""","""2002"""
0871318865,"""Dr Atkins New Diet Revolution""","""Robert C. Atkins""","""1999"""
0582061725,"""The Longman Companion to Cold War and Detente 1941-91 (Longman Companions to History)""","""John W. Young""","""1993"""
0871238810,"""The Lady's Confession""","""George S. MacDonald""","""1986"""
0312270453,"""Let's Go Europe 2002""","""Harriett Green""","""2001"""
8476811756,"""De brumas y de veras: La crÃ­tica literaria en los periÃ³dicos (Saio eta testigantza)""","""VÃ­ctor Moreno""","""1994"""
0800787013,"""Say Good-Bye to Stress""","""Kevin Leman""","""2002"""
0671252070,"""DONAHUE""","""Phil Donahue""","""1980"""
0743526716,"""The Ultimate Weight Solution: The 7 Keys to Weight Loss Freedom""","""Phil McGraw""","""2003"""
038075570X,"""Arabesques II""","""Susan Shwartz""","""1989"""
0778321169,"""The Baby Farm (Mira)""","""Karen Harper""","""2004"""
1858338549,"""Timelines of World History""","""Susan Imhoff""","""1998"""
037363207X,"""Omega Book #1: War Machine (Omega Book No. 1)""","""Goodyear Roger""","""1993"""
1418420670,"""Not My Father's War""","""R. M. Leich""","""2004"""
0763605573,"""The Emperor's Egg""","""Martin Jenkins""","""1999"""
0867193956,"""Dinners and Nightmares""","""Diane Di Prima""","""1998"""
0380017997,"""Lady Oracle""","""Margaret Eleanor Atwood""","""1978"""
185230071X,"""Managing Stress: The Practical Guide to Using Stress Positively""","""Ursula Markham""","""1990"""
0440459419,"""The Return of the Great Brain""","""JOHN FITZGERALD""","""1975"""
0963847236,"""I Wish for You a Beautiful Life: Letters from the Korean Birth Mothers of Ae Ran Won to Their Children""","""Sara Dorow""","""1999"""
0345424611,"""Parallelities""","""Alan Dean Foster""","""1998"""
0821749633,"""Beyond Forever""","""Rosalyn Alsobrook""","""1995"""
1586601393,"""New Mexico Sunset: Generations Are Sustained by Faith and Love in Four Complete Novels""","""Tracie Peterson""","""2001"""
044100931X,"""Another Fine Myth/Myth Conceptions""","""Robert Asprin""","""2002"""
3499223910,"""Weiberroman. Historisch-kritische Gesamtausgabe.""","""Matthias Politycki""","""1999"""
0440586585,"""TIPS FOR TODDLERS""","""BROOKE BEEBE""","""1987"""
0747542333,"""Model Behaviour""","""Jay Mcinerney""","""0"""
2869305729,"""La reine de la nuit""","""Marc Behm""","""1992"""
0553202960,"""Coming Currency Collapse""","""Jerome F. Smith""","""1981"""
0394728041,"""Lying Moral Choice In Public and Private L""","""Sissela Bok""","""1979"""
0722138881,"""Lovers""","""Suzanne Goodwin""","""1990"""
0395816521,"""The Stonewalkers""","""Vivien Alcock""","""1998"""
0833563513,"""Interview With the Vampire (Vampire Chronicles (Paperback))""","""Anne Rice""","""1999"""
8470307002,"""Retrato de Dorian Gray""","""Oscar Wilde""","""2000"""
0451519159,"""Fathers and Sons""","""Ivan Sergeevich Turgenev""","""1961"""
0517029618,"""Relativity: The Special and the General Theory--A Clear Explanation that Anyone Can Understand""","""ALBERT EINSTEIN""","""1988"""
0842308024,"""Elizabeth Gail and the Holiday Mystery""","""Hilda Stahl""","""1982"""
0399140522,"""Hanging Up""","""Delia Ephron""","""1995"""
0373023529,"""Hostage to Dishonour""","""Jessica Steele""","""1979"""
0743488318,"""Darkness and Dawn""","""Andre Norton""","""2004"""
0316096865,"""Poe a Biography""","""W. Bittner""","""1971"""
0689704135,"""MRS FRISBY AND THE RATS OF NIMH""","""Robert C. O'Brien""","""1975"""
0864923422,"""Tent of Blue""","""Rachael Preston""","""2002"""
0929987268,"""Do You Know What I Know?: The Symbols of Christmas""","""Jim Cook""","""1997"""
0440409411,"""The Castle in the Attic""","""ELIZABETH WINTHROP""","""1986"""
0030790980,"""Business Communications Principles and Processes""","""Cullinan""","""1994"""
0345296826,"""A Tapestry of Magics""","""Brian Daley""","""1983"""
057003602X,"""Jeff and the bad guy (Her A Haley adventure book)""","""Aleda Renken""","""1973"""
0822006065,"""Twain's Huckleberry Finn (Cliffs Notes)""","""J. L. Roberts""","""1989"""
0451169751,"""A Wife for Warminster (Signet Regency Romance)""","""Margaret Summerville""","""1991"""
3499129744,"""Gebrochene Herzen oder Mein erster bis elfter Mord. ( neue frau).""","""Milena Moser""","""1991"""
0874779219,"""The Science of Mind""","""Ernest Holmes""","""1998"""
0140123318,"""American Garden Writing: Gleanings from Garden Lives Then and Now""","""Bonnie Marranca""","""1989"""
0895297914,"""Coping With Mild Traumatic Brain Injury (Coping With...)""","""Diane Roberts Stoler""","""1998"""
0741410060,"""Wake Up Barbara and Help Me Find this Snake""","""Barbara Watson""","""2002"""
0679433422,"""Maxwell's Demon: Why Warmth Disperses and Time Passes""","""Hans Christian Von Baeyer""","""1999"""
0890813736,"""God's Design for Christian Dating""","""Greg Laurie""","""1983"""
1887392114,"""Tales of the Rational : Skeptical Essays About Nature and Science""","""Massimo Pigliucci""","""2000"""
091336794X,"""The Useful Proverbs""","""Kathy Collard Miller""","""1997"""
0553378260,"""Rita Will: Memoir of a Literary Rabble-Rouser""","""Rita Mae Brown""","""1999"""
0877735840,"""IN HER IMAGE""","""KATHIE CARLSON""","""1990"""
0816743231,"""Chocolate Daze""","""Elaine Moore""","""1997"""
0486206173,"""Rubinstein's Chess Masterpieces""","""Akiba Rubinstein""","""1941"""
0517701901,"""Laura Ashley Color: Using Color to Decorate Your Home""","""Susan Berry""","""1995"""
0231086032,"""Sources of Chinese Tradition (Unesco Collection of Representative Works. Chinese Series)""","""William Theodore De Bary""","""1964"""
057121861X,"""Dart""","""Alice Oswald""","""2003"""
039912764X,"""Godplayer""","""Robin Cook""","""1983"""
0786010002,"""Cat's Eye""","""William Johnstone""","""1999"""
0440613965,"""The Black Marble""","""Joseph Wambaugh""","""1998"""
